"filename", "language", "TypeScript", "TypeScript React", "XML", "CSS", "YAML", "JSON", "Markdown", "HTML", "SCSS", "JavaScript", "comment", "blank", "total"
"/Users/richardzilahi/zilahir/petstore/packages/client/src/styles/misc/_fonts.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/richardzilahi/zilahir/petstore/packages/client/src/styles/misc/_reset.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 130, 0, 5, 10, 145
"/Users/richardzilahi/zilahir/petstore/packages/client/src/styles/mixins/_box-shadow.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"/Users/richardzilahi/zilahir/petstore/packages/client/src/styles/mixins/_typography.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"/Users/richardzilahi/zilahir/petstore/packages/client/src/tests/App.test.tsx", "TypeScript React", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"/Users/richardzilahi/zilahir/petstore/packages/client/tsconfig.json", "JSON", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"/Users/richardzilahi/zilahir/petstore/packages/server/.eslintrc.json", "JSON", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/richardzilahi/zilahir/petstore/packages/server/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/richardzilahi/zilahir/petstore/packages/server/config/database.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 24
"/Users/richardzilahi/zilahir/petstore/packages/server/config/default.json", "JSON", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/richardzilahi/zilahir/petstore/packages/server/docker-compose.yml", "YAML", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
"/Users/richardzilahi/zilahir/petstore/packages/server/package.json", "JSON", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 1, 52
"/Users/richardzilahi/zilahir/petstore/packages/server/serverless.yml", "YAML", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
